name,accuracy,effect_chance,pp,priority,power,class,type,crit_rate,drain,flinch_chance,healing,max_hits,min_hits,max_turns,min_turns,stat_chance,effect
"gust",100,,35,0,40,special,flying,0,0,0,0,,,,,0,"Inflicts regular damage.If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power."
"wing-attack",100,,35,0,60,physical,flying,0,0,0,0,,,,,0,"Inflicts regular damage."
"whirlwind",-1,,20,-6,-1,status,normal,0,0,0,0,,,,,0,"Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.Doesn't affect Pokémon with suction cups or under the effect of ingrain."
"fly",95,,15,0,90,physical,flying,0,0,0,0,,,,,0,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.The damage from hail and sandstorm still applies during the immune turn.The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.This move cannot be used while gravity is in effect.This move cannot be selected by sleep talk."
"bind",85,100,20,0,15,physical,normal,0,0,0,0,,,6,5,0,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.rapid spin cancels this effect."
"slam",75,,20,0,80,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"vine-whip",100,,25,0,45,physical,grass,0,0,0,0,,,,,0,"Inflicts regular damage."
"stomp",100,30,20,0,65,physical,normal,0,0,30,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to make the target flinch.Power is doubled against Pokémon that have used minimize since entering the field."
"double-kick",100,,30,0,30,physical,fighting,0,0,0,0,2,2,,,0,"Inflicts regular damage.  Hits twice in one turn."
"mega-kick",75,,5,0,120,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"jump-kick",95,,10,0,100,physical,fighting,0,0,0,0,,,,,0,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.This move cannot be used while gravity is in effect."
"rolling-kick",85,30,15,0,60,physical,fighting,0,0,30,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to make the target flinch."
"sand-attack",100,,15,0,-1,status,ground,0,0,0,0,,,,,0,"Lowers the target's accuracy by one stage."
"headbutt",100,30,15,0,70,physical,normal,0,0,30,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to make the target flinch."
"horn-attack",100,,25,0,65,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"fury-attack",85,,20,0,15,physical,normal,0,0,0,0,5,2,,,0,"Inflicts regular damage.  Hits 2–5 times in one turn.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
"horn-drill",30,,5,0,-1,physical,normal,0,0,0,0,,,,,0,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
"tackle",100,,35,0,40,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"body-slam",100,30,15,0,85,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to paralyze the target."
"wrap",90,100,20,0,15,physical,normal,0,0,0,0,,,6,5,0,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.rapid spin cancels this effect."
"take-down",85,,20,0,90,physical,normal,0,-25,0,0,,,,,0,"Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil."
"thrash",100,,10,0,120,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.safeguard does not protect against the confusion from this move."
"double-edge",100,,15,0,120,physical,normal,0,-33,0,0,,,,,0,"Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil."
"tail-whip",100,,30,0,-1,status,normal,0,0,0,0,,,,,0,"Lowers the target's Defense by one stage."
"poison-sting",100,30,35,0,15,physical,poison,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to poison the target."
"twineedle",100,20,20,0,25,physical,bug,0,0,0,0,2,2,,,0,"Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target."
"pin-missile",95,,20,0,25,physical,bug,0,0,0,0,5,2,,,0,"Inflicts regular damage.  Hits 2–5 times in one turn.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
"leer",100,100,30,0,-1,status,normal,0,0,0,0,,,,,100,"Lowers the target's Defense by one stage."
"bite",100,30,25,0,60,physical,dark,0,0,30,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to make the target flinch."
"growl",100,,40,0,-1,status,normal,0,0,0,0,,,,,0,"Lowers the target's Attack by one stage."
"roar",-1,,20,-6,-1,status,normal,0,0,0,0,,,,,0,"Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.Doesn't affect Pokémon with suction cups or under the effect of ingrain."
"sing",55,,15,0,-1,status,normal,0,0,0,0,,,4,2,0,"Puts the target to sleep."
"supersonic",55,,20,0,-1,status,normal,0,0,0,0,,,5,2,0,"Confuses the target."
"sonic-boom",90,,20,0,-1,special,normal,0,0,0,0,,,,,0,"Inflicts exactly 20 damage."
"disable",100,,20,0,-1,status,normal,0,0,0,0,,,4,4,0,"Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail."
"acid",100,10,30,0,40,special,poison,0,0,0,0,,,,,10,"Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage."
"ember",100,10,25,0,40,special,fire,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to burn the target."
"flamethrower",100,10,15,0,90,special,fire,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to burn the target."
"mist",-1,,30,0,-1,status,ice,0,0,0,0,,,,,0,"Pokémon on the user's side of the field are immune to stat-lowering effects for five turns.guard swap, heart swap, and power swap may still be used.defog used by an opponent will end this effect."
"water-gun",100,,25,0,40,special,water,0,0,0,0,,,,,0,"Inflicts regular damage."
"hydro-pump",80,,5,0,110,special,water,0,0,0,0,,,,,0,"Inflicts regular damage."
"surf",100,,15,0,90,special,water,0,0,0,0,,,,,0,"Inflicts regular damage.If the target is in the first turn of dive, this move will hit with double power."
"ice-beam",100,10,10,0,90,special,ice,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to freeze the target."
"blizzard",70,10,5,0,110,special,ice,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to freeze the target.During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect."
"psybeam",100,10,20,0,65,special,psychic,0,0,0,0,,,5,2,0,"Inflicts regular damage.  Has a 10% chance to confuse the target."
"bubble-beam",100,10,20,0,65,special,water,0,0,0,0,,,,,10,"Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage."
"aurora-beam",100,10,20,0,65,special,ice,0,0,0,0,,,,,10,"Inflicts regular damage.  Has a 10% chance to lower the target's Attack by one stage."
"hyper-beam",90,,5,0,150,special,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  User loses its next turn to "recharge", and cannot attack or switch out during that turn."
"peck",100,,35,0,35,physical,flying,0,0,0,0,,,,,0,"Inflicts regular damage."
"drill-peck",100,,20,0,80,physical,flying,0,0,0,0,,,,,0,"Inflicts regular damage."
"submission",80,,20,0,80,physical,fighting,0,-25,0,0,,,,,0,"Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil."
"low-kick",100,,20,0,-1,physical,fighting,0,0,0,0,,,,,0,"Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.Target's weight | Power--------------- | ----:Up to 10kg      |    20Up to 25kg      |    40Up to 50kg      |    60Up to 100kg     |    80Up to 200kg     |   100Above 200kg     |   120"
"counter",100,,20,-5,-1,physical,fighting,0,0,0,0,,,,,0,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.This move cannot be copied by mirror move, nor selected by assist or metronome."
"seismic-toss",100,,20,0,-1,physical,fighting,0,0,0,0,,,,,0,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
"strength",100,,15,0,80,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"absorb",100,,25,0,20,special,grass,0,50,0,0,,,,,0,"Inflicts regular damage.  Drains half the damage inflicted to heal the user."
"mega-drain",100,,15,0,40,special,grass,0,50,0,0,,,,,0,"Inflicts regular damage.  Drains half the damage inflicted to heal the user."
"leech-seed",90,,10,0,-1,status,grass,0,0,0,0,,,,,0,"Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.The user takes damage instead of being healed if the target has liquid ooze.rapid spin will remove this effect.This effect is passed on by baton pass."
"growth",-1,,20,0,-1,status,normal,0,0,0,0,,,,,0,"Raises the user's Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages."
"razor-leaf",95,,25,0,55,physical,grass,1,0,0,0,,,,,0,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move."
"solar-beam",100,,10,0,120,special,grass,0,0,0,0,,,,,0,"Inflicts regular damage.  User charges for one turn before attacking.During sunny day, the charge turn is skipped.During hail, rain dance, or sandstorm, power is halved.This move cannot be selected by sleep talk."
"poison-powder",75,,35,0,-1,status,poison,0,0,0,0,,,,,0,"Poisons the target."
"stun-spore",75,,30,0,-1,status,grass,0,0,0,0,,,,,0,"Paralyzes the target."
"sleep-powder",75,,15,0,-1,status,grass,0,0,0,0,,,4,2,0,"Puts the target to sleep."
"petal-dance",100,,10,0,120,special,grass,0,0,0,0,,,,,0,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.safeguard does not protect against the confusion from this move."
"string-shot",95,,40,0,-1,status,bug,0,0,0,0,,,,,0,"Lowers the target's Speed by two stages."
"dragon-rage",100,,10,0,-1,special,dragon,0,0,0,0,,,,,0,"Inflicts exactly 40 damage."
"fire-spin",85,100,15,0,35,special,fire,0,0,0,0,,,6,5,0,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.rapid spin cancels this effect."
"thunder-shock",100,10,30,0,40,special,electric,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to paralyze the target."
"thunderbolt",100,10,15,0,90,special,electric,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to paralyze the target."
"thunder-wave",90,,20,0,-1,status,electric,0,0,0,0,,,,,0,"Paralyzes the target."
"thunder",70,30,10,0,110,special,electric,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to paralyze the target.During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.During sunny day, this move has 50% accuracy."
"rock-throw",90,,15,0,50,physical,rock,0,0,0,0,,,,,0,"Inflicts regular damage."
"earthquake",100,,10,0,100,physical,ground,0,0,0,0,,,,,0,"Inflicts regular damage.If the target is in the first turn of dig, this move will hit with double power."
"fissure",30,,5,0,-1,physical,ground,0,0,0,0,,,,,0,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
"dig",100,,10,0,80,physical,ground,0,0,0,0,,,,,0,"Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.This move cannot be selected by sleep talk."
"toxic",90,,10,0,-1,status,poison,0,0,0,0,,,15,15,0,"Badly poisons the target.  Never misses when used by a poison-type Pokémon."
"confusion",100,10,25,0,50,special,psychic,0,0,0,0,,,5,2,0,"Inflicts regular damage.  Has a 10% chance to confuse the target."
"psychic",100,10,10,0,90,special,psychic,0,0,0,0,,,,,10,"Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage."
"hypnosis",60,,20,0,-1,status,psychic,0,0,0,0,,,4,2,0,"Puts the target to sleep."
"meditate",-1,,40,0,-1,status,psychic,0,0,0,0,,,,,0,"Raises the user's Attack by one stage."
"agility",-1,,30,0,-1,status,psychic,0,0,0,0,,,,,0,"Raises the user's Speed by two stages."
"quick-attack",100,,30,1,40,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"rage",100,,20,0,20,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage."
"teleport",-1,,20,-6,-1,status,psychic,0,0,0,0,,,,,0,"Does nothing.  Wild battles end immediately."
"night-shade",100,,15,0,-1,special,ghost,0,0,0,0,,,,,0,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
"mimic",-1,,10,0,-1,status,normal,0,0,0,0,,,,,0,"This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore."
"screech",85,,40,0,-1,status,normal,0,0,0,0,,,,,0,"Lowers the target's Defense by two stages."
"double-team",-1,,15,0,-1,status,normal,0,0,0,0,,,,,0,"Raises the user's evasion by one stage."
"recover",-1,,5,0,-1,status,normal,0,0,0,50,,,,,0,"Heals the user for half its max HP."
"harden",-1,,30,0,-1,status,normal,0,0,0,0,,,,,0,"Raises the user's Defense by one stage."
"minimize",-1,,10,0,-1,status,normal,0,0,0,0,,,,,0,"Raises the user's evasion by two stages.stomp and steamroller have double power against Pokémon that have used this move since entering the field."
"smokescreen",100,,20,0,-1,status,normal,0,0,0,0,,,,,0,"Lowers the target's accuracy by one stage."
"confuse-ray",100,,10,0,-1,status,ghost,0,0,0,0,,,5,2,0,"Confuses the target."
"withdraw",-1,,40,0,-1,status,water,0,0,0,0,,,,,0,"Raises the user's Defense by one stage."
"defense-curl",-1,,40,0,-1,status,normal,0,0,0,0,,,,,0,"Raises user's Defense by one stage.After this move is used, the power of ice ball and rollout are doubled until the user leaves the field."
"barrier",-1,,20,0,-1,status,psychic,0,0,0,0,,,,,0,"Raises the user's Defense by two stages."
"light-screen",-1,,30,0,-1,status,psychic,0,0,0,0,,,,,0,"Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.If the user is holding light clay, the barrier lasts for eight turns.brick break or defog used by an opponent will destroy the barrier."
"haze",-1,,30,0,-1,status,ice,0,0,0,0,,,,,0,"Removes stat, accuracy, and evasion modifiers from every Pokémon on the field.This does not count as a stat reduction for the purposes of clear body or white smoke."
"reflect",-1,,20,0,-1,status,psychic,0,0,0,0,,,,,0,"Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.If the user is holding light clay, the barrier lasts for eight turns.brick break or defog used by an opponent will destroy the barrier."
"focus-energy",-1,,30,0,-1,status,normal,0,0,0,0,,,,,0,"User's critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field, this move will fail.This effect is passed on by baton pass."
"bide",-1,,10,1,-1,physical,normal,0,0,0,0,,,,,0,"User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.This move cannot be selected by sleep talk."
"metronome",-1,,10,0,-1,status,normal,0,0,0,0,,,,,0,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk."
"mirror-move",-1,,20,0,-1,status,flying,0,0,0,0,,,,,0,"Uses the last move targeted at the user by a Pokémon still on the field.  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field, or if no Pokémon that targeted the user remains on the field, this move will fail.Moves that failed, missed, had no effect, or were blocked are still copied.Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acid armor, acupressure, after you, agility, ally switch, amnesia, aqua ring, aromatherapy, aromatic mist, assist, autotomize, barrier, baton pass, belch, belly drum, bide, bulk up, calm mind, camouflage, celebrate, charge, coil, conversion, conversion 2, copycat, cosmic power, cotton guard, counter, crafty shield, curse, defend order, defense curl, destiny bond, detect, doom desire, double team, dragon dance, electric terrain, endure, final gambit, flower shield, focus energy, focus punch, follow me, future sight, geomancy, grassy terrain, gravity, growth, grudge, guard split, hail, happy hour, harden, haze, heal bell, heal order, heal pulse, healing wish, helping hand, hold hands, hone claws, howl, imprison, ingrain, ion deluge, iron defense, kings shield, light screen, lucky chant, lunar dance, magic coat, magnet rise, magnetic flux, mat block, me first, meditate, metronome, milk drink, mimic, minimize, mirror coat, mirror move, mist, misty terrain, moonlight, morning sun, mud sport, nasty plot, nature power, perish song, power split, power trick, protect, psych up, quick guard, quiver dance, rage powder, rain dance, recover, recycle, reflect, reflect type, refresh, rest, rock polish, role play, roost, rototiller, safeguard, sandstorm, shadow blast, shadow bolt, shadow half, shadow rush, shadow shed, shadow sky, shadow storm, shadow wave, sharpen, shell smash, shift gear, sketch, slack off, sleep talk, snatch, soft boiled, spikes, spiky shield, spit up, splash, stealth rock, sticky web, stockpile, struggle, substitute, sunny day, swallow, swords dance, synthesis, tail glow, tailwind, teleport, toxic spikes, transform, water sport, wide guard, wish, withdraw and work up.This move cannot be selected by assist, metronome, or sleep talk, nor forced by encore."
"self-destruct",100,,5,0,200,physical,normal,0,0,0,0,,,,,0,"User faints, even if the attack fails or misses.  Inflicts regular damage."
"egg-bomb",75,,10,0,100,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"lick",100,30,30,0,30,physical,ghost,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to paralyze the target."
"smog",70,40,20,0,30,special,poison,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 40% chance to poison the target."
"sludge",100,30,20,0,65,special,poison,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to poison the target."
"bone-club",85,10,20,0,65,physical,ground,0,0,10,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to make the target flinch."
"fire-blast",85,10,5,0,110,special,fire,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to burn the target."
"waterfall",100,20,15,0,80,physical,water,0,0,20,0,,,,,0,"Inflicts regular damage.  Has a 20% chance to make the target flinch."
"clamp",85,100,15,0,35,physical,water,0,0,0,0,,,6,5,0,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.rapid spin cancels this effect."
"swift",-1,,20,0,60,special,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  Ignores accuracy and evasion modifiers."
"skull-bash",100,100,10,0,130,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  Raises the user's Defense by one stage.  User then charges for one turn before attacking.This move cannot be selected by sleep talk."
"spike-cannon",100,,15,0,20,physical,normal,0,0,0,0,5,2,,,0,"Inflicts regular damage.  Hits 2–5 times in one turn.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
"constrict",100,10,35,0,10,physical,normal,0,0,0,0,,,,,10,"Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage."
"amnesia",-1,,20,0,-1,status,psychic,0,0,0,0,,,,,0,"Raises the user's Special Defense by two stages."
"kinesis",80,,15,0,-1,status,psychic,0,0,0,0,,,,,0,"Lowers the target's accuracy by one stage."
"soft-boiled",-1,,5,0,-1,status,normal,0,0,0,50,,,,,0,"Heals the user for half its max HP."
"high-jump-kick",90,,10,0,130,physical,fighting,0,0,0,0,,,,,0,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.This move cannot be used while gravity is in effect."
"glare",100,,30,0,-1,status,normal,0,0,0,0,,,,,0,"Paralyzes the target."
"dream-eater",100,,15,0,100,special,psychic,0,50,0,0,,,,,0,"Fails if not used on a sleeping Pokémon.  Inflicts regular damage.  Drains half the damage inflicted to heal the user."
"poison-gas",90,,40,0,-1,status,poison,0,0,0,0,,,,,0,"Poisons the target."
"barrage",85,,20,0,15,physical,normal,0,0,0,0,5,2,,,0,"Inflicts regular damage.  Hits 2–5 times in one turn.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
"leech-life",100,,10,0,80,physical,bug,0,50,0,0,,,,,0,"Inflicts regular damage.  Drains half the damage inflicted to heal the user."
"lovely-kiss",75,,10,0,-1,status,normal,0,0,0,0,,,4,2,0,"Puts the target to sleep."
"sky-attack",90,30,5,0,140,physical,flying,1,0,30,0,,,,,0,"Inflicts regular damage.  User charges for one turn before attacking.  Critical hit chance is one level higher than normal.  Has a 30% chance to make the target flinch.This move cannot be selected by sleep talk."
"transform",-1,,10,0,-1,status,normal,0,0,0,0,,,,,0,"User copies the target's species, weight, type, ability, calculated stats (except HP), and moves.  Copied moves will all have 5 PP remaining.  IVs are copied for the purposes of hidden power, but stats are not recalculated.choice band, choice scarf, and choice specs stay in effect, and the user must select a new move.This move cannot be copied by mirror move, nor forced by encore."
"bubble",100,10,30,0,40,special,water,0,0,0,0,,,,,10,"Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage."
"dizzy-punch",100,20,10,0,70,physical,normal,0,0,0,0,,,5,2,0,"Inflicts regular damage.  Has a 20% chance to confuse the target."
"spore",100,,15,0,-1,status,grass,0,0,0,0,,,4,2,0,"Puts the target to sleep."
"flash",100,,20,0,-1,status,normal,0,0,0,0,,,,,0,"Lowers the target's accuracy by one stage."
"psywave",100,,15,0,-1,special,psychic,0,0,0,0,,,,,0,"Inflicts typeless damage between 50% and 150% of the user's level, selected at random in increments of 10%."
"splash",-1,,40,0,-1,status,normal,0,0,0,0,,,,,0,"Does nothing.This move cannot be used while gravity is in effect."
"acid-armor",-1,,20,0,-1,status,poison,0,0,0,0,,,,,0,"Raises the user's Defense by two stages."
"crabhammer",90,,10,0,100,physical,water,1,0,0,0,,,,,0,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move."
"explosion",100,,5,0,250,physical,normal,0,0,0,0,,,,,0,"User faints, even if the attack fails or misses.  Inflicts regular damage."
"fury-swipes",80,,15,0,18,physical,normal,0,0,0,0,5,2,,,0,"Inflicts regular damage.  Hits 2–5 times in one turn.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
"bonemerang",90,,10,0,50,physical,ground,0,0,0,0,2,2,,,0,"Inflicts regular damage.  Hits twice in one turn."
"rest",-1,,5,0,-1,status,psychic,0,0,0,0,,,,,0,"User falls to sleep and immediately regains all its HP.  If the user has another major status effect, sleep will replace it.  The user will always wake up after two turns, or one turn with early bird.This move fails if the Pokémon cannot fall asleep due to uproar, insomnia, or vital spirit.  It also fails if the Pokémon is at full health or is already asleep."
"rock-slide",90,30,10,0,75,physical,rock,0,0,30,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to make the target flinch."
"hyper-fang",90,10,15,0,80,physical,normal,0,0,10,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to make the target flinch."
