name,type_1,type_2,ability_1,ability_1_is_hidden,ability_2,ability_2_is_hidden,ability_3,ability_3_is_hidden,height,weight,stat_hp,stat_attack,stat_defense,stat_spattack,stat_spdef,stat_speed,sprite
spearow,normal,flying,keen-eye,False,sniper,True,,,3,20,40,60,30,31,31,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png"
fearow,normal,flying,keen-eye,False,sniper,True,,,12,380,65,90,65,61,61,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png"
ekans,poison,,intimidate,False,shed-skin,False,unnerve,True,20,69,35,60,44,40,54,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png"
arbok,poison,,intimidate,False,shed-skin,False,unnerve,True,35,650,60,95,69,65,79,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png"
pikachu,electric,,static,False,lightning-rod,True,,,4,60,35,55,40,50,50,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png"
raichu,electric,,static,False,lightning-rod,True,,,8,300,60,90,55,90,80,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png"
sandshrew,ground,,sand-veil,False,sand-rush,True,,,6,120,50,75,85,20,30,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png"
sandslash,ground,,sand-veil,False,sand-rush,True,,,10,295,75,100,110,45,55,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png"
nidoran-f,poison,,poison-point,False,rivalry,False,hustle,True,4,70,55,47,52,40,40,41,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png"
nidorina,poison,,poison-point,False,rivalry,False,hustle,True,8,200,70,62,67,55,55,56,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png"
nidoqueen,poison,ground,poison-point,False,rivalry,False,sheer-force,True,13,600,90,92,87,75,85,76,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png"
nidoran-m,poison,,poison-point,False,rivalry,False,hustle,True,5,90,46,57,40,40,40,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png"
nidorino,poison,,poison-point,False,rivalry,False,hustle,True,9,195,61,72,57,55,55,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png"
nidoking,poison,ground,poison-point,False,rivalry,False,sheer-force,True,14,620,81,102,77,85,75,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png"
clefairy,fairy,,cute-charm,False,magic-guard,False,friend-guard,True,6,75,70,45,48,60,65,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png"
clefable,fairy,,cute-charm,False,magic-guard,False,unaware,True,13,400,95,70,73,95,90,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png"
vulpix,fire,,flash-fire,False,drought,True,,,6,99,38,41,40,50,65,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png"
ninetales,fire,,flash-fire,False,drought,True,,,11,199,73,76,75,81,100,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png"
jigglypuff,normal,fairy,cute-charm,False,competitive,False,friend-guard,True,5,55,115,45,20,45,25,20,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png"
wigglytuff,normal,fairy,cute-charm,False,competitive,False,frisk,True,10,120,140,70,45,85,50,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png"
zubat,poison,flying,inner-focus,False,infiltrator,True,,,8,75,40,45,35,30,40,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png"
golbat,poison,flying,inner-focus,False,infiltrator,True,,,16,550,75,80,70,65,75,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png"
oddish,grass,poison,chlorophyll,False,run-away,True,,,5,54,45,50,55,75,65,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png"
gloom,grass,poison,chlorophyll,False,stench,True,,,8,86,60,65,70,85,75,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png"
vileplume,grass,poison,chlorophyll,False,effect-spore,True,,,12,186,75,80,85,110,90,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png"
paras,bug,grass,effect-spore,False,dry-skin,False,damp,True,3,54,35,70,55,45,55,25,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png"
parasect,bug,grass,effect-spore,False,dry-skin,False,damp,True,10,295,60,95,80,60,80,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png"
venonat,bug,poison,compound-eyes,False,tinted-lens,False,run-away,True,10,300,60,55,50,40,55,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png"
venomoth,bug,poison,shield-dust,False,tinted-lens,False,wonder-skin,True,15,125,70,65,60,90,75,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png"
diglett,ground,,sand-veil,False,arena-trap,False,sand-force,True,2,8,10,55,25,35,45,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png"
dugtrio,ground,,sand-veil,False,arena-trap,False,sand-force,True,7,333,35,100,50,50,70,120,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png"
meowth,normal,,pickup,False,technician,False,unnerve,True,4,42,40,45,35,40,40,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png"
persian,normal,,limber,False,technician,False,unnerve,True,10,320,65,70,60,65,65,115,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png"
psyduck,water,,damp,False,cloud-nine,False,swift-swim,True,8,196,50,52,48,65,50,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png"
golduck,water,,damp,False,cloud-nine,False,swift-swim,True,17,766,80,82,78,95,80,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png"
mankey,fighting,,vital-spirit,False,anger-point,False,defiant,True,5,280,40,80,35,35,45,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png"
primeape,fighting,,vital-spirit,False,anger-point,False,defiant,True,10,320,65,105,60,60,70,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png"
growlithe,fire,,intimidate,False,flash-fire,False,justified,True,7,190,55,70,45,70,50,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png"
arcanine,fire,,intimidate,False,flash-fire,False,justified,True,19,1550,90,110,80,100,80,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png"
poliwag,water,,water-absorb,False,damp,False,swift-swim,True,6,124,40,50,40,40,40,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png"
poliwhirl,water,,water-absorb,False,damp,False,swift-swim,True,10,200,65,65,65,50,50,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png"
poliwrath,water,fighting,water-absorb,False,damp,False,swift-swim,True,13,540,90,95,95,70,90,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png"
abra,psychic,,synchronize,False,inner-focus,False,magic-guard,True,9,195,25,20,15,105,55,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png"
kadabra,psychic,,synchronize,False,inner-focus,False,magic-guard,True,13,565,40,35,30,120,70,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png"
alakazam,psychic,,synchronize,False,inner-focus,False,magic-guard,True,15,480,55,50,45,135,95,120,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png"
machop,fighting,,guts,False,no-guard,False,steadfast,True,8,195,70,80,50,35,35,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png"
machoke,fighting,,guts,False,no-guard,False,steadfast,True,15,705,80,100,70,50,60,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png"
machamp,fighting,,guts,False,no-guard,False,steadfast,True,16,1300,90,130,80,65,85,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png"
bellsprout,grass,poison,chlorophyll,False,gluttony,True,,,7,40,50,75,35,70,30,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png"
weepinbell,grass,poison,chlorophyll,False,gluttony,True,,,10,64,65,90,50,85,45,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png"
victreebel,grass,poison,chlorophyll,False,gluttony,True,,,17,155,80,105,65,100,70,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png"
tentacool,water,poison,clear-body,False,liquid-ooze,False,rain-dish,True,9,455,40,40,35,50,100,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png"
tentacruel,water,poison,clear-body,False,liquid-ooze,False,rain-dish,True,16,550,80,70,65,80,120,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png"
geodude,rock,ground,rock-head,False,sturdy,False,sand-veil,True,4,200,40,80,100,30,30,20,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png"
graveler,rock,ground,rock-head,False,sturdy,False,sand-veil,True,10,1050,55,95,115,45,45,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png"
golem,rock,ground,rock-head,False,sturdy,False,sand-veil,True,14,3000,80,120,130,55,65,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png"
ponyta,fire,,run-away,False,flash-fire,False,flame-body,True,10,300,50,85,55,65,65,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png"
rapidash,fire,,run-away,False,flash-fire,False,flame-body,True,17,950,65,100,70,80,80,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png"
slowpoke,water,psychic,oblivious,False,own-tempo,False,regenerator,True,12,360,90,65,65,40,40,15,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png"
slowbro,water,psychic,oblivious,False,own-tempo,False,regenerator,True,16,785,95,75,110,100,80,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png"
magnemite,electric,steel,magnet-pull,False,sturdy,False,analytic,True,3,60,25,35,70,95,55,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png"
magneton,electric,steel,magnet-pull,False,sturdy,False,analytic,True,10,600,50,60,95,120,70,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png"
farfetchd,normal,flying,keen-eye,False,inner-focus,False,defiant,True,8,150,52,90,55,58,62,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png"
doduo,normal,flying,run-away,False,early-bird,False,tangled-feet,True,14,392,35,85,45,35,35,75,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png"
dodrio,normal,flying,run-away,False,early-bird,False,tangled-feet,True,18,852,60,110,70,60,60,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png"
seel,water,,thick-fat,False,hydration,False,ice-body,True,11,900,65,45,55,45,70,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png"
dewgong,water,ice,thick-fat,False,hydration,False,ice-body,True,17,1200,90,70,80,70,95,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png"
grimer,poison,,stench,False,sticky-hold,False,poison-touch,True,9,300,80,80,50,40,50,25,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png"
muk,poison,,stench,False,sticky-hold,False,poison-touch,True,12,300,105,105,75,65,100,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png"
shellder,water,,shell-armor,False,skill-link,False,overcoat,True,3,40,30,65,100,45,25,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png"
cloyster,water,ice,shell-armor,False,skill-link,False,overcoat,True,15,1325,50,95,180,85,45,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png"
gastly,ghost,poison,levitate,False,,,,,13,1,30,35,30,100,35,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png"
haunter,ghost,poison,levitate,False,,,,,16,1,45,50,45,115,55,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png"
gengar,ghost,poison,cursed-body,False,,,,,15,405,60,65,60,130,75,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png"
onix,rock,ground,rock-head,False,sturdy,False,weak-armor,True,88,2100,35,45,160,30,45,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png"
drowzee,psychic,,insomnia,False,forewarn,False,inner-focus,True,10,324,60,48,45,43,90,42,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png"
hypno,psychic,,insomnia,False,forewarn,False,inner-focus,True,16,756,85,73,70,73,115,67,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png"
krabby,water,,hyper-cutter,False,shell-armor,False,sheer-force,True,4,65,30,105,90,25,25,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png"
kingler,water,,hyper-cutter,False,shell-armor,False,sheer-force,True,13,600,55,130,115,50,50,75,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png"
voltorb,electric,,soundproof,False,static,False,aftermath,True,5,104,40,30,50,55,55,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png"
electrode,electric,,soundproof,False,static,False,aftermath,True,12,666,60,50,70,80,80,150,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png"
exeggcute,grass,psychic,chlorophyll,False,harvest,True,,,4,25,60,40,80,60,45,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png"
exeggutor,grass,psychic,chlorophyll,False,harvest,True,,,20,1200,95,95,85,125,75,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png"
cubone,ground,,rock-head,False,lightning-rod,False,battle-armor,True,4,65,50,50,95,40,50,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png"
marowak,ground,,rock-head,False,lightning-rod,False,battle-armor,True,10,450,60,80,110,50,80,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png"
hitmonlee,fighting,,limber,False,reckless,False,unburden,True,15,498,50,120,53,35,110,87,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png"
hitmonchan,fighting,,keen-eye,False,iron-fist,False,inner-focus,True,14,502,50,105,79,35,110,76,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png"
lickitung,normal,,own-tempo,False,oblivious,False,cloud-nine,True,12,655,90,55,75,60,75,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png"
koffing,poison,,levitate,False,neutralizing-gas,False,stench,True,6,10,40,65,95,60,45,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png"
weezing,poison,,levitate,False,neutralizing-gas,False,stench,True,12,95,65,90,120,85,70,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png"
rhyhorn,ground,rock,lightning-rod,False,rock-head,False,reckless,True,10,1150,80,85,95,30,30,25,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png"
rhydon,ground,rock,lightning-rod,False,rock-head,False,reckless,True,19,1200,105,130,120,45,45,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png"
chansey,normal,,natural-cure,False,serene-grace,False,healer,True,11,346,250,5,5,35,105,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png"
tangela,grass,,chlorophyll,False,leaf-guard,False,regenerator,True,10,350,65,55,115,100,40,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png"
kangaskhan,normal,,early-bird,False,scrappy,False,inner-focus,True,22,800,105,95,80,40,80,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png"
horsea,water,,swift-swim,False,sniper,False,damp,True,4,80,30,40,70,70,25,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png"
seadra,water,,poison-point,False,sniper,False,damp,True,12,250,55,65,95,95,45,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png"
goldeen,water,,swift-swim,False,water-veil,False,lightning-rod,True,6,150,45,67,60,35,50,63,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png"
seaking,water,,swift-swim,False,water-veil,False,lightning-rod,True,13,390,80,92,65,65,80,68,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png"
staryu,water,,illuminate,False,natural-cure,False,analytic,True,8,345,30,45,55,70,55,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png"
starmie,water,psychic,illuminate,False,natural-cure,False,analytic,True,11,800,60,75,85,100,85,115,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png"
mr-mime,psychic,fairy,soundproof,False,filter,False,technician,True,13,545,40,45,65,100,120,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png"
scyther,bug,flying,swarm,False,technician,False,steadfast,True,15,560,70,110,80,55,80,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png"
jynx,ice,psychic,oblivious,False,forewarn,False,dry-skin,True,14,406,65,50,35,115,95,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png"
electabuzz,electric,,static,False,vital-spirit,True,,,11,300,65,83,57,95,85,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png"
magmar,fire,,flame-body,False,vital-spirit,True,,,13,445,65,95,57,100,85,93,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png"
pinsir,bug,,hyper-cutter,False,mold-breaker,False,moxie,True,15,550,65,125,100,55,70,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png"
tauros,normal,,intimidate,False,anger-point,False,sheer-force,True,14,884,75,100,95,40,70,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png"
magikarp,water,,swift-swim,False,rattled,True,,,9,100,20,10,55,15,20,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png"
gyarados,water,flying,intimidate,False,moxie,True,,,65,2350,95,125,79,60,100,81,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png"
lapras,water,ice,water-absorb,False,shell-armor,False,hydration,True,25,2200,130,85,80,85,95,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png"
ditto,normal,,limber,False,imposter,True,,,3,40,48,48,48,48,48,48,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png"
eevee,normal,,run-away,False,adaptability,False,anticipation,True,3,65,55,55,50,45,65,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png"
vaporeon,water,,water-absorb,False,hydration,True,,,10,290,130,65,60,110,95,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png"
jolteon,electric,,volt-absorb,False,quick-feet,True,,,8,245,65,65,60,110,95,130,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png"
flareon,fire,,flash-fire,False,guts,True,,,9,250,65,130,60,95,110,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png"
porygon,normal,,trace,False,download,False,analytic,True,8,365,65,60,70,85,75,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png"
omanyte,rock,water,swift-swim,False,shell-armor,False,weak-armor,True,4,75,35,40,100,90,55,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png"
omastar,rock,water,swift-swim,False,shell-armor,False,weak-armor,True,10,350,70,60,125,115,70,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png"
kabuto,rock,water,swift-swim,False,battle-armor,False,weak-armor,True,5,115,30,80,90,55,45,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png"
kabutops,rock,water,swift-swim,False,battle-armor,False,weak-armor,True,13,405,60,115,105,65,70,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png"
aerodactyl,rock,flying,rock-head,False,pressure,False,unnerve,True,18,590,80,105,65,60,75,130,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png"
snorlax,normal,,immunity,False,thick-fat,False,gluttony,True,21,4600,160,110,65,65,110,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png"
articuno,ice,flying,pressure,False,snow-cloak,True,,,17,554,90,85,100,95,125,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png"
zapdos,electric,flying,pressure,False,static,True,,,16,526,90,90,85,125,90,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png"
moltres,fire,flying,pressure,False,flame-body,True,,,20,600,90,100,90,125,85,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png"
dratini,dragon,,shed-skin,False,marvel-scale,True,,,18,33,41,64,45,50,50,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png"
dragonair,dragon,,shed-skin,False,marvel-scale,True,,,40,165,61,84,65,70,70,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png"
dragonite,dragon,flying,inner-focus,False,multiscale,True,,,22,2100,91,134,95,100,100,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png"
mewtwo,psychic,,pressure,False,unnerve,True,,,20,1220,106,110,90,154,90,130,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png"
mew,psychic,,synchronize,False,,,,,4,40,100,100,100,100,100,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png"
chikorita,grass,,overgrow,False,leaf-guard,True,,,9,64,45,49,65,49,65,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png"
bayleef,grass,,overgrow,False,leaf-guard,True,,,12,158,60,62,80,63,80,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png"
meganium,grass,,overgrow,False,leaf-guard,True,,,18,1005,80,82,100,83,100,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png"
cyndaquil,fire,,blaze,False,flash-fire,True,,,5,79,39,52,43,60,50,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png"
quilava,fire,,blaze,False,flash-fire,True,,,9,190,58,64,58,80,65,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png"
typhlosion,fire,,blaze,False,flash-fire,True,,,17,795,78,84,78,109,85,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png"
totodile,water,,torrent,False,sheer-force,True,,,6,95,50,65,64,44,48,43,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png"
